,0
0,"1Stephen Curry, PGGolden State Warriors$43,006,362"
1,"3Chris Paul, PGPhoenix Suns$41,358,814"
2,"5John Wall, PGHouston Rockets$41,254,920"
3,"7LeBron James, SFLos Angeles Lakers$39,219,565"
4,"9Paul George, SGLA Clippers$35,450,412"
5,"11Mike Conley, PGUtah Jazz$34,502,130"
6,"13Kawhi Leonard, SFLA Clippers$34,379,100"
7,"15Tobias Harris, PFPhiladelphia 76ers$34,358,850"
8,"17Anthony Davis, PFLos Angeles Lakers$32,742,000"
9,"19Damian Lillard, PGPortland Trail Blazers$31,626,953"
10,"21Pascal Siakam, PFToronto Raptors$30,559,200"
11,"23Kyle Lowry, PGToronto Raptors$30,500,000"
12,"25Joel Embiid, CPhiladelphia 76ers$29,542,010"
13,"27Nikola Jokic, CDenver Nuggets$29,542,010"
14,"29Karl-Anthony Towns, CMinnesota Timberwolves$29,467,800"
15,"31CJ McCollum, SGPortland Trail Blazers$29,354,152"
16,"33Andre Drummond, CCleveland Cavaliers$28,751,775"
17,"35Gordon Hayward, SFCharlotte Hornets$28,500,000"
18,"37DeMar DeRozan, SFSan Antonio Spurs$27,739,975"
19,"39Rudy Gobert, CUtah Jazz$27,525,281"
20,"2Russell Westbrook, PGWashington Wizards$41,358,814"
21,"4James Harden, SGBrooklyn Nets$41,254,920"
22,"6Kevin Durant, PFBrooklyn Nets$40,108,950"
23,"8Blake Griffin, PFDetroit Pistons$36,810,996"
24,"10Klay Thompson, SGGolden State Warriors$35,361,360"
25,"12Jimmy Butler, SFMiami Heat$34,379,100"
26,"14Kemba Walker, PGBoston Celtics$34,379,100"
27,"16Khris Middleton, SFMilwaukee Bucks$33,051,724"
28,"18Kyrie Irving, PGBrooklyn Nets$31,742,000"
29,"20Kevin Love, PFCleveland Cavaliers$31,258,256"
30,"22Ben Simmons, PGPhiladelphia 76ers$30,559,200"
31,"24Steven Adams, CNew Orleans Pelicans$29,592,696"
32,"26Andrew Wiggins, SFGolden State Warriors$29,542,010"
33,"28Devin Booker, SGPhoenix Suns$29,467,800"
34,"30Kristaps Porzingis, CDallas Mavericks$29,467,800"
35,"32Bradley Beal, SGWashington Wizards$28,751,775"
36,"34D'Angelo Russell, PGMinnesota Timberwolves$28,649,250"
37,"36Otto Porter Jr., SFChicago Bulls$28,489,237"
38,"38Giannis Antetokounmpo, PFMilwaukee Bucks$27,528,090"
39,"40Al Horford, COklahoma City Thunder$27,500,000"
40,"1Stephen Curry, PGGolden State Warriors$43,006,362"
41,"3Chris Paul, PGPhoenix Suns$41,358,814"
42,"5John Wall, PGHouston Rockets$41,254,920"
43,"7LeBron James, SFLos Angeles Lakers$39,219,565"
44,"9Paul George, SGLA Clippers$35,450,412"
45,"11Mike Conley, PGUtah Jazz$34,502,130"
46,"13Kawhi Leonard, SFLA Clippers$34,379,100"
47,"15Tobias Harris, PFPhiladelphia 76ers$34,358,850"
48,"17Anthony Davis, PFLos Angeles Lakers$32,742,000"
49,"19Damian Lillard, PGPortland Trail Blazers$31,626,953"
50,"21Pascal Siakam, PFToronto Raptors$30,559,200"
51,"23Kyle Lowry, PGToronto Raptors$30,500,000"
52,"25Joel Embiid, CPhiladelphia 76ers$29,542,010"
53,"27Nikola Jokic, CDenver Nuggets$29,542,010"
54,"29Karl-Anthony Towns, CMinnesota Timberwolves$29,467,800"
55,"31CJ McCollum, SGPortland Trail Blazers$29,354,152"
56,"33Andre Drummond, CCleveland Cavaliers$28,751,775"
57,"35Gordon Hayward, SFCharlotte Hornets$28,500,000"
58,"37DeMar DeRozan, SFSan Antonio Spurs$27,739,975"
59,"39Rudy Gobert, CUtah Jazz$27,525,281"
60,"2Russell Westbrook, PGWashington Wizards$41,358,814"
61,"4James Harden, SGBrooklyn Nets$41,254,920"
62,"6Kevin Durant, PFBrooklyn Nets$40,108,950"
63,"8Blake Griffin, PFDetroit Pistons$36,810,996"
